task,model,architecture,base_run_name,run_name,seed,config_exists,trained_weights_exist,test_metrics_exist,onnx_or_export_exists,hls_project_exists,csynthesis_report_exists,parsed_hardware_metrics_exist,plots_tables_included,complete
binary_qg_vs_wzt,Dense MLP,64-32-32,binary_mlp_baseline_64_32_32,binary_mlp_baseline_64_32_32__seed42,42,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,Dense MLP,64-32-32,binary_mlp_baseline_64_32_32,binary_mlp_baseline_64_32_32__seed43,43,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,Dense MLP,64-32-32,binary_mlp_baseline_64_32_32,binary_mlp_baseline_64_32_32__seed44,44,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,Dense MLP,128-32,binary_mlp_topo_128_32,binary_mlp_topo_128_32__seed42,42,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,Dense MLP,128-32,binary_mlp_topo_128_32,binary_mlp_topo_128_32__seed43,43,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,Dense MLP,128-32,binary_mlp_topo_128_32,binary_mlp_topo_128_32__seed44,44,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,QKeras fixed b7,64-32-32,binary_qkeras_mlp_64_32_32_b7,binary_qkeras_mlp_64_32_32_b7__seed42,42,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,QKeras fixed b7,64-32-32,binary_qkeras_mlp_64_32_32_b7,binary_qkeras_mlp_64_32_32_b7__seed43,43,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,QKeras fixed b7,64-32-32,binary_qkeras_mlp_64_32_32_b7,binary_qkeras_mlp_64_32_32_b7__seed44,44,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,QKeras fixed b7,128-32,binary_qkeras_topo_128_32_b7,binary_qkeras_topo_128_32_b7__seed42,42,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,QKeras fixed b7,128-32,binary_qkeras_topo_128_32_b7,binary_qkeras_topo_128_32_b7__seed43,43,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,QKeras fixed b7,128-32,binary_qkeras_topo_128_32_b7,binary_qkeras_topo_128_32_b7__seed44,44,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,HGQ,64-32-32,binary_hgq_mlp_64_32_32,binary_hgq_mlp_64_32_32__seed42,42,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,HGQ,64-32-32,binary_hgq_mlp_64_32_32,binary_hgq_mlp_64_32_32__seed43,43,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,HGQ,64-32-32,binary_hgq_mlp_64_32_32,binary_hgq_mlp_64_32_32__seed44,44,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,HGQ,128-32,binary_hgq_topo_128_32,binary_hgq_topo_128_32__seed42,42,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,HGQ,128-32,binary_hgq_topo_128_32,binary_hgq_topo_128_32__seed43,43,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,HGQ,128-32,binary_hgq_topo_128_32,binary_hgq_topo_128_32__seed44,44,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,QKeras binary,64-32-32,binary_qkeras_mlp_binary_64_32_32,binary_qkeras_mlp_binary_64_32_32__seed42,42,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,QKeras binary,64-32-32,binary_qkeras_mlp_binary_64_32_32,binary_qkeras_mlp_binary_64_32_32__seed43,43,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,QKeras binary,64-32-32,binary_qkeras_mlp_binary_64_32_32,binary_qkeras_mlp_binary_64_32_32__seed44,44,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,QKeras binary,128-32,binary_qkeras_topo_binary_128_32,binary_qkeras_topo_binary_128_32__seed42,42,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,QKeras binary,128-32,binary_qkeras_topo_binary_128_32,binary_qkeras_topo_binary_128_32__seed43,43,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,QKeras binary,128-32,binary_qkeras_topo_binary_128_32,binary_qkeras_topo_binary_128_32__seed44,44,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,QKeras ternary,64-32-32,binary_qkeras_mlp_ternary_64_32_32,binary_qkeras_mlp_ternary_64_32_32__seed42,42,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,QKeras ternary,64-32-32,binary_qkeras_mlp_ternary_64_32_32,binary_qkeras_mlp_ternary_64_32_32__seed43,43,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,QKeras ternary,64-32-32,binary_qkeras_mlp_ternary_64_32_32,binary_qkeras_mlp_ternary_64_32_32__seed44,44,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,QKeras ternary,128-32,binary_qkeras_topo_ternary_128_32,binary_qkeras_topo_ternary_128_32__seed42,42,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,QKeras ternary,128-32,binary_qkeras_topo_ternary_128_32,binary_qkeras_topo_ternary_128_32__seed43,43,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,QKeras ternary,128-32,binary_qkeras_topo_ternary_128_32,binary_qkeras_topo_ternary_128_32__seed44,44,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,BitNet binary,64-32-32,binary_bitnet_sigmoid_f7_fixed,binary_bitnet_sigmoid_f7_fixed__seed42,42,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,BitNet binary,64-32-32,binary_bitnet_sigmoid_f7_fixed,binary_bitnet_sigmoid_f7_fixed__seed43,43,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,BitNet binary,64-32-32,binary_bitnet_sigmoid_f7_fixed,binary_bitnet_sigmoid_f7_fixed__seed44,44,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,BitNet binary,128-32,binary_bitnet_topo_sigmoid_f7_fixed,binary_bitnet_topo_sigmoid_f7_fixed__seed42,42,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,BitNet binary,128-32,binary_bitnet_topo_sigmoid_f7_fixed,binary_bitnet_topo_sigmoid_f7_fixed__seed43,43,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,BitNet binary,128-32,binary_bitnet_topo_sigmoid_f7_fixed,binary_bitnet_topo_sigmoid_f7_fixed__seed44,44,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,Bit158 sparse ternary,64-32-32,binary_bit158_sigmoid_f7_fixed,binary_bit158_sigmoid_f7_fixed__seed42,42,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,Bit158 sparse ternary,64-32-32,binary_bit158_sigmoid_f7_fixed,binary_bit158_sigmoid_f7_fixed__seed43,43,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,Bit158 sparse ternary,64-32-32,binary_bit158_sigmoid_f7_fixed,binary_bit158_sigmoid_f7_fixed__seed44,44,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,Bit158 sparse ternary,128-32,binary_bit158_topo_sigmoid_f7_fixed,binary_bit158_topo_sigmoid_f7_fixed__seed42,42,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,Bit158 sparse ternary,128-32,binary_bit158_topo_sigmoid_f7_fixed,binary_bit158_topo_sigmoid_f7_fixed__seed43,43,True,True,True,True,True,True,True,True,True
