model_name,hardware_variant,n_seeds,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,macro_auc_mean,macro_auc_std,macro_auc_min,macro_auc_max,latency_cycles_mean,latency_cycles_std,latency_cycles_min,latency_cycles_max,lut_mean,lut_std,lut_min,lut_max,ff_mean,ff_std,ff_min,ff_max,dsp_mean,dsp_std,dsp_min,dsp_max,bram_18k_mean,bram_18k_std,bram_18k_min,bram_18k_max
bit158_mlp_f7_fixed,software_only,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bit158_topo_f7_fixed,software_only,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bitnet_mlp_f10_fixed,software_only,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bitnet_mlp_f12_fixed,software_only,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bitnet_mlp_f5_fixed,software_only,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bitnet_mlp_f7_fixed,software_only,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bitnet_mlp_f7_power2,software_only,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bitnet_mlp_f8_fixed,software_only,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bitnet_topo_f7_fixed,software_only,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deepsets_hlf,software_only,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hgq_mlp,software_only,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlp_baseline,software_only,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlp_mixer_hlf,software_only,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qkeras_mlp,software_only,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgboost_bdt,software_only,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
