model_name,seed,weights_exists,metrics_exists,onnx_exists,hls_exists,synth_exists,report_parsed,complete,tier,run_name,metrics_backend
mlp_baseline,42,False,False,False,False,False,False,False,tier1,mlp_baseline__seed42,
mlp_baseline,43,False,False,False,False,False,False,False,tier1,mlp_baseline__seed43,
mlp_baseline,44,False,False,False,False,False,False,False,tier1,mlp_baseline__seed44,
qkeras_mlp,42,False,False,False,False,False,False,False,tier1,qkeras_mlp__seed42,
qkeras_mlp,43,False,False,False,False,False,False,False,tier1,qkeras_mlp__seed43,
qkeras_mlp,44,False,False,False,False,False,False,False,tier1,qkeras_mlp__seed44,
hgq_mlp,42,False,False,False,False,False,False,False,tier1,hgq_mlp__seed42,
hgq_mlp,43,False,False,False,False,False,False,False,tier1,hgq_mlp__seed43,
hgq_mlp,44,False,False,False,False,False,False,False,tier1,hgq_mlp__seed44,
bitnet_topo_f7_fixed,42,False,False,False,False,False,False,False,tier1,bitnet_topo_f7_fixed__seed42,
bitnet_topo_f7_fixed,43,False,False,False,False,False,False,False,tier1,bitnet_topo_f7_fixed__seed43,
bitnet_topo_f7_fixed,44,False,False,False,False,False,False,False,tier1,bitnet_topo_f7_fixed__seed44,
bit158_topo_f7_fixed,42,False,False,False,False,False,False,False,tier1,bit158_topo_f7_fixed__seed42,
bit158_topo_f7_fixed,43,False,False,False,False,False,False,False,tier1,bit158_topo_f7_fixed__seed43,
bit158_topo_f7_fixed,44,False,False,False,False,False,False,False,tier1,bit158_topo_f7_fixed__seed44,
bit158_mlp_f7_fixed,42,False,False,False,False,False,False,False,tier1,bit158_mlp_f7_fixed__seed42,
bit158_mlp_f7_fixed,43,False,False,False,False,False,False,False,tier1,bit158_mlp_f7_fixed__seed43,
bit158_mlp_f7_fixed,44,False,False,False,False,False,False,False,tier1,bit158_mlp_f7_fixed__seed44,
xgboost_bdt,42,False,False,False,False,False,False,False,tier1,xgboost_bdt__seed42,
xgboost_bdt,43,False,False,False,False,False,False,False,tier1,xgboost_bdt__seed43,
xgboost_bdt,44,False,False,False,False,False,False,False,tier1,xgboost_bdt__seed44,
bitnet_mlp_f5_fixed,42,False,False,False,False,False,False,False,tier2,bitnet_mlp_f5_fixed,
bitnet_mlp_f5_fixed,43,False,False,False,False,False,False,False,tier2,bitnet_mlp_f5_fixed__seed43,
bitnet_mlp_f5_fixed,44,False,False,False,False,False,False,False,tier2,bitnet_mlp_f5_fixed__seed44,
bitnet_mlp_f7_fixed,42,False,False,False,False,False,False,False,tier2,bitnet_mlp_f7_fixed,
bitnet_mlp_f7_fixed,43,False,False,False,False,False,False,False,tier2,bitnet_mlp_f7_fixed__seed43,
bitnet_mlp_f7_fixed,44,False,False,False,False,False,False,False,tier2,bitnet_mlp_f7_fixed__seed44,
bitnet_mlp_f8_fixed,42,False,False,False,False,False,False,False,tier2,bitnet_mlp_f8_fixed,
bitnet_mlp_f8_fixed,43,False,False,False,False,False,False,False,tier2,bitnet_mlp_f8_fixed__seed43,
bitnet_mlp_f8_fixed,44,False,False,False,False,False,False,False,tier2,bitnet_mlp_f8_fixed__seed44,
bitnet_mlp_f10_fixed,42,False,False,False,False,False,False,False,tier2,bitnet_mlp_f10_fixed,
bitnet_mlp_f10_fixed,43,False,False,False,False,False,False,False,tier2,bitnet_mlp_f10_fixed__seed43,
bitnet_mlp_f10_fixed,44,False,False,False,False,False,False,False,tier2,bitnet_mlp_f10_fixed__seed44,
bitnet_mlp_f12_fixed,42,False,False,False,False,False,False,False,tier2,bitnet_mlp_f12_fixed,
bitnet_mlp_f12_fixed,43,False,False,False,False,False,False,False,tier2,bitnet_mlp_f12_fixed__seed43,
bitnet_mlp_f12_fixed,44,False,False,False,False,False,False,False,tier2,bitnet_mlp_f12_fixed__seed44,
bitnet_mlp_f7_power2,42,False,False,False,False,False,False,False,tier2,bitnet_mlp_f7_power2,
bitnet_mlp_f7_power2,43,False,False,False,False,False,False,False,tier2,bitnet_mlp_f7_power2__seed43,
bitnet_mlp_f7_power2,44,False,False,False,False,False,False,False,tier2,bitnet_mlp_f7_power2__seed44,
deepsets_hlf,42,False,False,False,False,False,False,False,tier3,deepsets_hlf__seed42,
deepsets_hlf,43,False,False,False,False,False,False,False,tier3,deepsets_hlf__seed43,
deepsets_hlf,44,False,False,False,False,False,False,False,tier3,deepsets_hlf__seed44,
mlp_mixer_hlf,42,False,False,False,False,False,False,False,tier3,mlp_mixer_hlf__seed42,
mlp_mixer_hlf,43,False,False,False,False,False,False,False,tier3,mlp_mixer_hlf__seed43,
mlp_mixer_hlf,44,False,False,False,False,False,False,False,tier3,mlp_mixer_hlf__seed44,
